,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_Rank,rapm_def_Rank,rapm__intercept,display_first_last
329,203934.0,-0.07,0.23,0.17,174.0,226.0,160.0,103.6,Lamar Patterson
330,203935.0,0.67,0.2,0.87,82.0,80.0,174.0,103.6,Marcus Smart
331,203937.0,-0.18,1.43,1.25,52.0,275.0,12.0,103.6,Kyle Anderson
332,203939.0,-0.01,-1.03,-1.04,419.0,208.0,461.0,103.6,Dwight Powell
333,203940.0,-0.05,0.21,0.16,178.0,219.0,170.0,103.6,Adreian Payne
334,203943.0,-1.06,0.32,-0.74,381.0,453.0,140.0,103.6,Noah Vonleh
335,203944.0,-0.49,-1.64,-2.13,476.0,364.0,482.0,103.6,Julius Randle
336,203948.0,0.05,-0.34,-0.28,306.0,190.0,344.0,103.6,Johnny O'Bryant III
337,203949.0,-1.26,0.05,-1.21,436.0,464.0,214.0,103.6,James Michael McAdoo
338,203950.0,0.02,-0.02,-0.01,224.0,201.0,240.0,103.6,Jarnell Stokes
339,203952.0,1.67,-1.65,0.02,214.0,24.0,483.0,103.6,Andrew Wiggins
340,203953.0,0.09,-0.94,-0.85,397.0,181.0,453.0,103.6,Jabari Parker
341,203954.0,-0.17,1.39,1.22,54.0,274.0,13.0,103.6,Joel Embiid
342,203957.0,-1.03,0.71,-0.32,316.0,446.0,70.0,103.6,Dante Exum
343,203962.0,0.1,0.04,0.14,188.0,178.0,219.0,103.6,Josh Huestis
344,203967.0,-1.16,0.31,-0.84,396.0,463.0,143.0,103.6,Dario Saric
345,203991.0,0.86,-0.11,0.76,93.0,64.0,286.0,103.6,Clint Capela
346,203994.0,-1.09,0.68,-0.41,335.0,458.0,74.0,103.6,Jusuf Nurkic
347,203998.0,-0.17,0.15,-0.02,232.0,273.0,182.0,103.6,Bruno Caboclo
348,203999.0,2.78,0.11,2.89,8.0,4.0,192.0,103.6,Nikola Jokic
349,204001.0,-0.21,0.76,0.55,118.0,285.0,62.0,103.6,Kristaps Porzingis
350,204002.0,0.04,0.11,0.15,181.0,196.0,190.0,103.6,Edy Tavares
351,204014.0,-0.43,-0.26,-0.69,374.0,350.0,321.0,103.6,Damjan Rudez
352,204020.0,-0.47,0.49,0.02,216.0,356.0,99.0,103.6,Tyler Johnson
353,204025.0,-0.13,-0.71,-0.84,394.0,254.0,422.0,103.6,Tim Frazier
354,204028.0,-0.59,0.82,0.23,164.0,381.0,53.0,103.6,Tarik Black
355,204038.0,-0.32,0.08,-0.24,296.0,323.0,201.0,103.6,Langston Galloway
356,204060.0,0.89,-0.38,0.52,124.0,60.0,356.0,103.6,Joe Ingles
357,204067.0,-0.32,0.24,-0.08,249.0,322.0,157.0,103.6,Jarell Eddie
358,204456.0,-1.06,-0.08,-1.14,433.0,451.0,275.0,103.6,T.J. McConnell
359,1626143.0,-2.15,-0.92,-3.07,486.0,485.0,451.0,103.6,Jahlil Okafor
360,1626144.0,-0.53,-0.76,-1.29,447.0,372.0,437.0,103.6,Emmanuel Mudiay
361,1626145.0,0.73,-0.53,0.2,169.0,74.0,393.0,103.6,Tyus Jones
362,1626147.0,-0.71,-0.74,-1.45,458.0,408.0,432.0,103.6,Justin Anderson
363,1626148.0,0.1,0.33,0.44,136.0,177.0,134.0,103.6,Anthony Brown
364,1626149.0,1.04,-0.52,0.53,122.0,47.0,388.0,103.6,Montrezl Harrell
365,1626150.0,-0.77,0.81,0.04,209.0,420.0,54.0,103.6,Andrew Harrison
366,1626151.0,-0.12,0.01,-0.1,257.0,246.0,231.0,103.6,Aaron Harrison
367,1626153.0,-0.28,1.0,0.72,101.0,303.0,36.0,103.6,Delon Wright
368,1626154.0,-0.17,0.1,-0.07,244.0,271.0,197.0,103.6,RJ Hunter
369,1626155.0,0.54,-0.43,0.11,196.0,98.0,368.0,103.6,Sam Dekker
370,1626156.0,-0.11,-1.71,-1.83,470.0,245.0,484.0,103.6,D'Angelo Russell
371,1626157.0,1.78,-1.34,0.44,135.0,19.0,474.0,103.6,Karl-Anthony Towns
372,1626158.0,0.1,-0.96,-0.86,400.0,180.0,455.0,103.6,Richaun Holmes
373,1626159.0,-0.91,0.55,-0.37,328.0,439.0,86.0,103.6,Justise Winslow
374,1626161.0,-0.73,0.01,-0.71,379.0,411.0,230.0,103.6,Willie Cauley-Stein
375,1626162.0,-0.15,0.03,-0.11,258.0,261.0,220.0,103.6,Kelly Oubre Jr.
376,1626163.0,1.18,-0.46,0.72,102.0,39.0,378.0,103.6,Frank Kaminsky
377,1626164.0,0.72,-0.91,-0.19,284.0,75.0,450.0,103.6,Devin Booker
378,1626166.0,-1.13,0.49,-0.64,365.0,461.0,98.0,103.6,Cameron Payne
379,1626167.0,0.59,0.51,1.1,59.0,89.0,93.0,103.6,Myles Turner
380,1626168.0,-0.5,0.37,-0.13,266.0,365.0,123.0,103.6,Trey Lyles
381,1626169.0,0.41,0.37,0.79,90.0,123.0,122.0,103.6,Stanley Johnson
382,1626170.0,0.46,0.49,0.95,75.0,119.0,100.0,103.6,Jerian Grant
383,1626171.0,-0.44,-0.31,-0.75,384.0,352.0,337.0,103.6,Bobby Portis
384,1626172.0,-1.04,0.01,-1.03,418.0,448.0,232.0,103.6,Kevon Looney
385,1626173.0,-0.87,-0.24,-1.11,427.0,434.0,314.0,103.6,Rashad Vaughn
386,1626174.0,0.03,0.32,0.35,146.0,199.0,141.0,103.6,Christian Wood
387,1626175.0,-0.31,-0.39,-0.7,378.0,317.0,360.0,103.6,Jordan Mickey
388,1626176.0,-0.33,-0.03,-0.36,323.0,324.0,244.0,103.6,Rakeem Christmas
389,1626178.0,-1.27,0.17,-1.1,424.0,466.0,179.0,103.6,Rondae Hollis-Jefferson
390,1626179.0,-0.81,0.79,-0.02,231.0,423.0,58.0,103.6,Terry Rozier
391,1626181.0,0.3,0.3,0.6,117.0,138.0,146.0,103.6,Norman Powell
392,1626184.0,0.11,-0.18,-0.07,243.0,176.0,305.0,103.6,Chasson Randle
393,1626185.0,-1.37,0.9,-0.47,347.0,470.0,46.0,103.6,Jarell Martin
394,1626188.0,0.24,-0.52,-0.28,301.0,148.0,390.0,103.6,Quinn Cook
395,1626191.0,0.47,0.26,0.73,98.0,115.0,154.0,103.6,Chris McCullough
396,1626192.0,0.05,-0.36,-0.3,310.0,188.0,353.0,103.6,Pat Connaughton
397,1626195.0,-0.17,0.43,0.26,159.0,272.0,112.0,103.6,Willy Hernangomez
398,1626196.0,-0.83,0.38,-0.44,340.0,427.0,119.0,103.6,Josh Richardson
399,1626199.0,-0.2,0.32,0.13,192.0,280.0,139.0,103.6,Darrun Hilliard
400,1626202.0,-0.69,-0.27,-0.96,410.0,404.0,324.0,103.6,Joe Young
401,1626203.0,-0.63,-0.02,-0.66,368.0,393.0,239.0,103.6,Treveon Graham
402,1626204.0,-0.28,0.35,0.06,206.0,306.0,129.0,103.6,Larry Nance Jr.
403,1626209.0,-1.45,-0.65,-2.1,475.0,471.0,413.0,103.6,Mario Hezonja
404,1626210.0,0.17,0.18,0.35,147.0,160.0,177.0,103.6,Alan Williams
405,1626245.0,-0.49,0.51,0.01,218.0,362.0,96.0,103.6,Cristiano Felicio
406,1626246.0,0.19,0.27,0.46,133.0,156.0,153.0,103.6,Boban Marjanovic
407,1626253.0,-0.13,-0.02,-0.14,269.0,252.0,238.0,103.6,Axel Toupane
408,1626254.0,-0.2,0.24,0.04,211.0,282.0,156.0,103.6,Maurice Ndour
409,1626257.0,-0.65,0.89,0.24,162.0,397.0,47.0,103.6,Salah Mejri
410,1626273.0,-0.16,-0.12,-0.28,302.0,268.0,294.0,103.6,Marcelo Huertas
411,1626780.0,-0.29,-0.67,-0.96,411.0,307.0,419.0,103.6,Jonathan Gibson
412,1627098.0,-0.74,0.88,0.14,186.0,415.0,48.0,103.6,Malcolm Delaney
413,1627362.0,-0.24,-0.45,-0.69,372.0,293.0,374.0,103.6,Briante Weber
414,1627733.0,0.26,0.02,0.28,155.0,144.0,225.0,103.6,Dragan Bender
415,1627734.0,-1.59,1.29,-0.3,309.0,479.0,18.0,103.6,Domantas Sabonis
416,1627735.0,-1.3,-0.14,-1.44,457.0,467.0,296.0,103.6,Wade Baldwin IV
417,1627736.0,0.36,0.71,1.07,62.0,129.0,71.0,103.6,Malik Beasley
418,1627737.0,-0.91,-1.4,-2.31,481.0,438.0,478.0,103.6,Marquese Chriss
419,1627738.0,-0.46,0.1,-0.36,326.0,354.0,198.0,103.6,Deyonta Davis
420,1627739.0,-0.25,-0.51,-0.76,386.0,296.0,387.0,103.6,Kris Dunn
421,1627740.0,-0.07,0.08,0.0,221.0,228.0,203.0,103.6,Henry Ellenson
422,1627741.0,-0.87,-0.76,-1.62,461.0,433.0,435.0,103.6,Buddy Hield
423,1627742.0,-0.05,-1.15,-1.2,435.0,221.0,467.0,103.6,Brandon Ingram
424,1627743.0,0.05,-0.07,-0.02,229.0,192.0,262.0,103.6,Demetrius Jackson
425,1627744.0,0.05,0.08,0.13,190.0,193.0,200.0,103.6,Brice Johnson
426,1627745.0,-0.26,0.02,-0.24,297.0,299.0,229.0,103.6,Damian Jones
427,1627746.0,-0.22,0.07,-0.15,270.0,291.0,204.0,103.6,Skal Labissiere
428,1627747.0,0.28,-0.35,-0.07,242.0,141.0,348.0,103.6,Caris LeVert
429,1627748.0,-0.29,-0.17,-0.46,344.0,308.0,304.0,103.6,Thon Maker
430,1627749.0,-0.32,0.24,-0.08,246.0,319.0,155.0,103.6,Dejounte Murray
431,1627750.0,0.74,0.18,0.93,76.0,70.0,175.0,103.6,Jamal Murray
432,1627751.0,-0.75,0.8,0.05,208.0,416.0,57.0,103.6,Jakob Poeltl
433,1627752.0,-1.71,1.37,-0.34,321.0,482.0,14.0,103.6,Taurean Prince
434,1627754.0,-0.37,-0.03,-0.4,333.0,333.0,243.0,103.6,Diamond Stone
435,1627755.0,-0.71,-0.27,-0.98,414.0,409.0,323.0,103.6,Tyler Ulis
436,1627756.0,-0.08,0.22,0.14,187.0,230.0,165.0,103.6,Denzel Valentine
437,1627757.0,-0.1,-0.18,-0.28,303.0,240.0,306.0,103.6,Stephen Zimmerman
438,1627758.0,-0.36,-0.21,-0.57,356.0,331.0,310.0,103.6,Ron Baker
439,1627759.0,-1.09,-0.02,-1.11,425.0,456.0,237.0,103.6,Jaylen Brown
440,1627761.0,-0.21,-0.04,-0.26,300.0,289.0,254.0,103.6,DeAndre' Bembry
441,1627762.0,0.12,0.21,0.32,150.0,174.0,171.0,103.6,Joel Bolomboy
442,1627763.0,1.03,-0.07,0.96,72.0,49.0,264.0,103.6,Malcolm Brogdon
443,1627767.0,-0.17,-0.33,-0.5,349.0,270.0,343.0,103.6,Cheick Diallo
444,1627770.0,-0.73,0.13,-0.6,360.0,413.0,187.0,103.6,Kay Felder
445,1627771.0,0.04,-0.15,-0.11,259.0,197.0,298.0,103.6,Michael Gbinije
446,1627773.0,-0.08,0.14,0.07,205.0,229.0,183.0,103.6,AJ Hammons
447,1627774.0,-0.42,0.39,-0.03,235.0,349.0,118.0,103.6,Jake Layman
448,1627775.0,-1.72,-0.54,-2.26,479.0,483.0,399.0,103.6,Patrick McCaw
449,1627777.0,0.04,-0.05,-0.01,226.0,195.0,260.0,103.6,Georges Niang
